iter	Passed	Remaining
0	1	141
1	2	122
2	3	103
3	3	90
4	4	84
5	5	81
6	5	78
7	6	78
8	7	76
9	8	75
10	9	74
11	10	73
12	10	72
13	11	72
14	12	70
15	13	68
16	13	67
17	14	66
18	15	65
19	16	65
20	16	63
21	17	63
22	18	63
23	20	64
24	20	62
25	21	61
26	22	60
27	22	58
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	26	52
34	27	51
35	28	50
36	28	49
37	29	48
38	30	47
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	36	40
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	39	35
53	40	34
54	41	33
55	43	33
56	44	33
57	45	32
58	46	32
59	46	31
60	47	30
61	48	29
62	49	28
63	49	28
64	50	27
65	51	26
66	51	25
67	52	24
68	53	23
69	54	23
70	54	22
71	55	21
72	56	20
73	56	20
74	57	19
75	58	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	64	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	73	1
98	74	0
99	75	0
